States/UTs,Crime Head,2014
Andhra Pradesh,1 - Murder (Section 302 and 303 IPC),45
Andhra Pradesh,2 - Infanticide (Section 315 IPC),2
Andhra Pradesh,3 - Rape,477
Andhra Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),274
Andhra Pradesh,4.1 - Sexual Harassment (Section 354A IPC),67
Andhra Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),19
Andhra Pradesh,4.3 - Voyeurism (Section 354C IPC),5
Andhra Pradesh,4.4 - Stalking (Section 354D IPC),94
Andhra Pradesh,4.5 - Others assault,89
Andhra Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),75
Andhra Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",600
Andhra Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),180
Andhra Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),1
Andhra Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2
Andhra Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),233
Andhra Pradesh,6.5 - Other Kidnapping,184
Andhra Pradesh,7 - Foeticide (Section 315 and 316 IPC),0
Andhra Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),8
Andhra Pradesh,9 - Exposure and Abandonment (Section 317 IPC),26
Andhra Pradesh,10 - Procuration of minor girls (Section 366-A IPC),37
Andhra Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Andhra Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),0
Andhra Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),0
Andhra Pradesh,"14 - Prohibition of Child Marriage Act, 2006",16
Andhra Pradesh,"15 - Transplantation of Human Organs Act, 1994",0
Andhra Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",0
Andhra Pradesh,16.1 - Offences committed against Migrant,0
Andhra Pradesh,16.1.1 - Offences committed against SC migrants,0
Andhra Pradesh,16.1.2 - Offences committed against ST migrants,0
Andhra Pradesh,16.1.3 - Offences committed against others migrants,0
Andhra Pradesh,16.2 - Offences committed against Locals,0
Andhra Pradesh,16.2.1 - Offences committed against Local SCs,0
Andhra Pradesh,16.2.2 - Offences committed against Local STs,0
Andhra Pradesh,16.2.3 - Offences committed against others locals,0
Andhra Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",9
Andhra Pradesh,17.1 - Under ITP Section 5,3
Andhra Pradesh,17.2 - Under ITP Section 6,0
Andhra Pradesh,17.3 - Under ITP Section 7,0
Andhra Pradesh,17.4 - Under ITP Section 8,0
Andhra Pradesh,17.5 - Other Section under ITP Act,6
Andhra Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2
Andhra Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",106
Andhra Pradesh,19.1 - Under PCSO Act Section 4,24
Andhra Pradesh,19.2 - Under PCSO Act Section 6,21
Andhra Pradesh,19.4 - Under PCSO Act Section 10,19
Andhra Pradesh,19.3 - Under PCSO Act Section 8,1
Andhra Pradesh,19.5 - Under PCSO Act Sections 14 & 15,0
Andhra Pradesh,19.6 - Other Acts of PCSO,41
Andhra Pradesh,20 - Attempt to commit Murder u/s 307 IPC,1
Andhra Pradesh,21 - Unnatural Offences u/s 377 IPC,1
Andhra Pradesh,22 - Other crimes committed against children,380
Andhra Pradesh,23 - Total crimes against Children,2059
Arunachal Pradesh,1 - Murder (Section 302 and 303 IPC),5
Arunachal Pradesh,2 - Infanticide (Section 315 IPC),0
Arunachal Pradesh,3 - Rape,43
Arunachal Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),8
Arunachal Pradesh,4.1 - Sexual Harassment (Section 354A IPC),6
Arunachal Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),0
Arunachal Pradesh,4.3 - Voyeurism (Section 354C IPC),1
Arunachal Pradesh,4.4 - Stalking (Section 354D IPC),1
Arunachal Pradesh,4.5 - Others assault,0
Arunachal Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),0
Arunachal Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",66
Arunachal Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),25
Arunachal Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0
Arunachal Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2
Arunachal Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),9
Arunachal Pradesh,6.5 - Other Kidnapping,30
Arunachal Pradesh,7 - Foeticide (Section 315 and 316 IPC),0
Arunachal Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),1
Arunachal Pradesh,9 - Exposure and Abandonment (Section 317 IPC),0
Arunachal Pradesh,10 - Procuration of minor girls (Section 366-A IPC),1
Arunachal Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Arunachal Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),0
Arunachal Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),0
Arunachal Pradesh,"14 - Prohibition of Child Marriage Act, 2006",0
Arunachal Pradesh,"15 - Transplantation of Human Organs Act, 1994",0
Arunachal Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",0
Arunachal Pradesh,16.1 - Offences committed against Migrant,0
Arunachal Pradesh,16.1.1 - Offences committed against SC migrants,0
Arunachal Pradesh,16.1.2 - Offences committed against ST migrants,0
Arunachal Pradesh,16.1.3 - Offences committed against others migrants,0
Arunachal Pradesh,16.2 - Offences committed against Locals,0
Arunachal Pradesh,16.2.1 - Offences committed against Local SCs,0
Arunachal Pradesh,16.2.2 - Offences committed against Local STs,0
Arunachal Pradesh,16.2.3 - Offences committed against others locals,0
Arunachal Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",0
Arunachal Pradesh,17.1 - Under ITP Section 5,0
Arunachal Pradesh,17.2 - Under ITP Section 6,0
Arunachal Pradesh,17.3 - Under ITP Section 7,0
Arunachal Pradesh,17.4 - Under ITP Section 8,0
Arunachal Pradesh,17.5 - Other Section under ITP Act,0
Arunachal Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",0
Arunachal Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",5
Arunachal Pradesh,19.1 - Under PCSO Act Section 4,2
Arunachal Pradesh,19.2 - Under PCSO Act Section 6,0
Arunachal Pradesh,19.4 - Under PCSO Act Section 10,1
Arunachal Pradesh,19.3 - Under PCSO Act Section 8,0
Arunachal Pradesh,19.5 - Under PCSO Act Sections 14 & 15,0
Arunachal Pradesh,19.6 - Other Acts of PCSO,2
Arunachal Pradesh,20 - Attempt to commit Murder u/s 307 IPC,2
Arunachal Pradesh,21 - Unnatural Offences u/s 377 IPC,0
Arunachal Pradesh,22 - Other crimes committed against children,3
Arunachal Pradesh,23 - Total crimes against Children,134
Assam,1 - Murder (Section 302 and 303 IPC),22
Assam,2 - Infanticide (Section 315 IPC),0
Assam,3 - Rape,125
Assam,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),70
Assam,4.1 - Sexual Harassment (Section 354A IPC),16
Assam,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2
Assam,4.3 - Voyeurism (Section 354C IPC),0
Assam,4.4 - Stalking (Section 354D IPC),0
Assam,4.5 - Others assault,52
Assam,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),0
Assam,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",152
